document,TTR,C,R,CTTR,U,S,K,D,Vm,Maas,lgV0,lgeV0,ARI,ARI.simple,ARI.NRI,Bormuth.MC,Bormuth.GP,Coleman,Coleman.C2,Coleman.Liau.ECP,Coleman.Liau.grade,Coleman.Liau.short,Dale.Chall,Dale.Chall.old,Dale.Chall.PSK,Danielson.Bryan,Danielson.Bryan.2,Dickes.Steiwer,DRP,ELF,Farr.Jenkins.Paterson,Flesch,Flesch.PSK,Flesch.Kincaid,FOG,FOG.PSK,FOG.NRI,FORCAST,FORCAST.RGL,Fucks,Linsear.Write,LIW,nWS,nWS.2,nWS.3,nWS.4,RIX,Scrabble,SMOG,SMOG.C,SMOG.simple,SMOG.de,Spache,Spache.old,Strain,Traenkle.Bailer,Traenkle.Bailer.2,Wheeler.Smith,meanSentenceLength,meanWordSyllables,CECR.niveau,W,NDW,NDWC,S.1,VP,C.1,T,DC,CT,CP,CN,MLS,MLT,MLC,C.S,VP.T,C.T,DC.C,DC.T,T.S,CT.T,CP.T,CP.C,CN.T,CN.C
cohort_student1,0.44070796460177,0.870696643801581,10.4755087316006,7.40730326049368,21.283658280272,0.863226888051801,136.173545305036,0.011868449130735,0.0979861738893577,0.216758861493113,4.87210190201918,11.2184292111373,7.59327125506073,56.1101214574899,6.10931174089069,-2.5160340319711,40980345.664389,47.0973684210526,49.1026315789474,50.2910031578947,9.28401397072421,9.28463157894737,28.2487179487179,8.62749325236167,7.2588032388664,5.48810881438421,84.4987887792348,-306.388469002472,351.60340319711,4.92307692307692,-45.2912259109312,61.9835425101215,5.92680850202429,8.24473684210527,11.3900134952767,5.29625747368421,51.7,10.0526315789474,9.4878947368421,67.3846153846154,8.1025641025641,37.9487179487179,5.95025371120108,6.55585155195682,5.77644480431849,5.9919338731444,3.41025641025641,1.72354294478528,11.2597670650739,10.9779693511039,10.7954621908666,5.7954621908666,4.9881632928475,5.58538326585695,6.73846153846154,-341.328374089069,-245.062032140351,49.2307692307692,14.6153846153846,1.53684210526316,C1,574,273,223,38,85,71,42,27,22,13,74,15.1053,13.6667,8.0845,1.8684,2.0238,1.6905,0.3803,0.6429,1.1053,0.5238,0.3095,0.1831,1.7619,1.0423
cohort_student2,0.437106918238994,0.856374510626078,7.79473294187942,5.5117085207411,17.4232800242685,0.830966902877449,299.632134804794,0.0269031605261592,0.150893899400085,0.23957143911411,4.15027248728921,9.55635556109547,13.1927358490566,67.3396226415094,10.4264150943396,-4.8500178196207,293572854.712581,52.8235849056604,49.7103773584906,48.5395886792453,9.76390854353207,9.76490566037736,23.6080817610063,8.62530251572327,7.5343358490566,6.44469511041009,86.214398895899,-450.21588927673,585.00178196207,7.75,-57.2831320754717,50.3771226415094,6.82688176100629,12.8160691823899,15.8830188679245,8.42980804150943,51.765,9.38679245283019,8.75547169811321,120.25,14,50.7138364779874,7.50932201257861,8.25807987421384,7.84724622641509,8.96955094339623,6.41666666666667,1.65835065835066,13.8166696488959,13.3529051578271,13.2469507659596,8.2469507659596,6.28939937106918,7.11763836477987,12.175,-487.956111446541,-248.215136069182,77.5,26.5,1.5314465408805,C1,319,149,123,11,39,32,22,9,8,3,36,29,14.5,9.9688,2.9091,1.7727,1.4545,0.2812,0.4091,2,0.3636,0.1364,0.0938,1.6364,1.125
cohort_student3,0.875,0.957983281670876,4.28660704987056,3.03108891324554,32.849096659577,0.866790558178045,520.833333333333,0.0108695652173913,0.0668153104781061,0.17447703984737,4.60986212215751,10.6145998032378,3.0175,47.25,0.900000000000002,-1.93391941203704,18408872.9959278,63.675,66.2166666666667,66.7907833333333,4.76300820353333,4.76333333333333,39.8866666666667,6.86336666666667,5.9074,4.54162173913044,89.6135826086957,-244.590360416667,293.391941203704,2.5,-42.431125,74.805,5.17653333333333,5.80666666666667,9.8,4.4587632,0.3,8.125,7.3675,47,6,24.5,3.66348333333333,4.60856666666667,4.87535,4.9242,1.5,1.73404255319149,10.1257567015968,9.94066831692886,9.70820393249937,4.70820393249937,4.161,4.681,5.1,-267.192931666667,-197.9717775,25,12,1.41666666666667,B1,24,21,18,2,4,2,2,0,0,1,4,12,12,12,1,2,1,0,0,1,0,0.5,0.5,2,2
cohort_student4,0.632911392405063,0.895312894790446,5.62543950463012,3.97778642087865,18.1266554987066,0.82737856293443,283.60839609037,0.0159039272963324,0.091437626877763,0.234877361453066,3.81415780396432,8.78242290173514,10.9814556962025,62.8132911392405,9.20886075949367,-3.55150617460311,115365318.009257,49.7272151898734,48.8348101265823,44.6302620253165,10.8350796840152,10.8359493670886,27.5243987341772,8.41369493670886,7.22214810126582,6.24995384615385,82.6667615384615,-393.24460664557,455.150617460311,6.25,-50.4702626582278,44.3609018987342,6.99377658227848,11.9783227848101,16.5075949367089,7.43147445443038,9.65875,9.74683544303798,9.15151898734177,94.5,17,45.0664556962025,8.29618734177215,9.03295,9.02405094936709,9.45741012658228,5,1.67553191489362,14.9062281516336,14.3742492230148,14.2915897906362,9.29158979063621,5.64368670886076,6.34526898734177,9.975,-408.857393417721,-251.779077468355,62.5,19.75,1.68354430379747,A1,81,52,44,4,13,12,11,2,3,2,7,20.25,7.3636,6.75,3,1.1818,1.0909,0.1667,0.1818,2.75,0.2727,0.1818,0.1667,0.6364,0.5833
cohort_student5,0.543778801843318,0.886761272745496,8.01036195296514,5.66418125670037,20.6330448115806,0.858385276275206,161.608868313194,0.0116060761222052,0.0876716063508191,0.220149822330186,4.48238393009201,10.3210704185059,6.93958796421794,54.7785307671456,5.71509894280293,-2.14978642403888,25437180.4151198,41.8034562211982,45.8103686635945,50.1244935483871,9.32963826976774,9.33013824884792,32.4273759826511,8.05340821360802,6.79571840607211,5.41063583877996,83.6097710239651,-292.504366123611,314.978642403888,4.82352941176471,-43.4784068853348,58.5967958796422,6.06600056925996,8.25735971808078,11.373163458932,4.97626886972079,16.6897058823529,10.668202764977,10.1650230414747,59.5882352941176,8,36.7278395229059,6.50036481431282,7.00493597180808,5.95976494985091,5.99666072106262,3.05882352941176,1.67393458870168,11.2081432601887,10.9304705874509,10.7459666924148,5.74596669241483,4.69753862835457,5.25449173217674,6.12352941176471,-328.654430788832,-256.217031658986,48.2352941176471,12.7647058823529,1.59907834101382,B1,221,128,106,17,37,28,19,7,8,1,20,13,11.6316,7.8929,1.6471,1.9474,1.4737,0.25,0.3684,1.1176,0.4211,0.0526,0.0357,1.0526,0.7143
cohort_student6,0.72463768115942,0.923931176785609,6.01929265428846,4.25628265379374,24.1734920172837,0.87011572139217,249.947490023104,0.0106564364876385,0.0706735382042702,0.203390331520979,4.44106977270841,10.2259410555848,7.72304347826087,56.3217391304348,6.46782608695653,-2.36350675204734,33875741.9543246,43.8108695652174,46.745652173913,48.2788246376812,9.83535893397681,9.83594202898551,33.8258260869565,7.75358869565217,6.60054956521739,5.62760352941176,82.6376447058824,-318.682028492754,336.350675204734,5,-44.504347826087,55.5062608695652,6.25624724637681,8.9456231884058,13.056231884058,5.56699072347826,5.055,10.4347826086957,9.90826086956522,65.2,10.4,41.336231884058,7.50409913043478,8.09911652173913,7.09696376811594,7.14213507246377,3.8,1.75692307692308,12.3406265835799,11.9771789721335,11.8317608663278,6.83176086632785,4.34908985507246,4.90364057971014,6.72,-340.141789913044,-255.716090434783,50,13.8,1.6231884057971,B1,70,53,44,5,14,9,6,3,2,0,8,14,11.6667,7.7778,1.8,2.3333,1.5,0.3333,0.5,1.2,0.3333,0,0,1.3333,0.8889
cohort_student7,0.508650519031142,0.880701871118908,8.64705882352941,6.11439393143662,20.6281344547273,0.858931255842266,166.305480058907,0.0132160707420223,0.0991353968946277,0.220176023193556,4.57557533513568,10.5356515585546,11.2517053880376,63.3695007414731,9.34157192288681,-3.7233023009338,132950814.300009,40.110553633218,39.8631487889273,45.1964626297578,10.6799384535958,10.680830449827,24.4450098863075,8.867409935739,7.57484992585269,6.23259444444444,83.5872555555556,-395.514296376668,472.33023009338,8.07142857142857,-51.495714532872,45.6631228373703,6.94446376668314,12.0184997528423,15.5927829955512,7.3588089311913,39.2696428571429,10.8650519031142,10.3815570934256,98,15.1428571428571,45.2103311913,8.57669332674246,9.07714241225902,8.25193971824024,8.82199199209096,5.07142857142857,1.65937272064187,14.2443402133287,13.7533061860339,13.6569896580333,8.65698965803329,5.68204522985665,6.39808576371725,10.2642857142857,-434.269681987148,-273.003927266436,80.7142857142857,20.6428571428571,1.65743944636678,B1,290,152,116,14,30,21,16,4,3,10,36,20.7143,18.125,13.8095,1.5,1.875,1.3125,0.1905,0.25,1.1429,0.1875,0.625,0.4762,2.25,1.7143
cohort_student8,0.605809128630705,0.908621901984738,9.40468674545213,6.65011777264444,26.0677021552475,0.889594466398149,143.076048966099,0.0102005532503458,0.0863613908417225,0.195861296466163,5.1825924355223,11.9333600850973,15.8215859843246,72.3752881512218,13.7094513600738,-4.94617201456112,311346386.820607,38.6288381742739,36.8881742738589,37.1529290456432,12.8838988297776,12.884979253112,17.9299723374827,9.55098483171968,8.21792733978792,7.29871833333333,80.9640833333333,-500.749518501614,594.617201456112,10.7777777777778,-57.7410253573075,38.5385431074228,7.47003766712771,14.5363208852006,18.1799907791609,9.04226968722914,42.8172222222222,11.0373443983402,10.5710788381743,135.666666666667,20,56.2383586906409,9.99738967266021,10.4859765790687,9.51933928077455,10.5428292300599,7.88888888888889,1.68934426229508,15.9031890086143,15.3119697385515,15.2474487139159,10.2474487139159,7.40367542646381,8.29018533886584,13.4,-525.778588805901,-286.930664688797,107.777777777778,26.7777777777778,1.66804979253112,B1,242,151,132,9,28,15,10,4,3,7,27,26.8889,24.2,16.1333,1.6667,2.8,1.5,0.2667,0.4,1.1111,0.3,0.7,0.4667,2.7,1.8
cohort_student9,0.741935483870968,0.934145298077431,7.15496669363993,5.05932546823669,29.8913045095616,0.899413860732777,183.836281651058,0.00771388499298738,0.0623768750573271,0.182905837177303,5.15238309952792,11.8638005183675,12.023064516129,64.9596774193548,9.70645161290323,-4.22555390148484,194240737.243148,50.3241935483871,48.2435483870968,47.0346784946237,10.1762599537591,10.1772043010753,25.4843817204301,8.5249688172043,7.38515806451613,6.33975869565217,84.5962630434783,-431.692261666667,522.555390148484,7.25,-54.0153629032258,51.3330241935484,6.70003602150538,11.8753494623656,14.8913978494624,7.63121257096774,12.33375,9.67741935483871,9.07516129032258,107.75,13,43.6801075268817,7.3718623655914,8.07089731182796,7.45655295698925,8.31789892473118,4.75,1.70997679814385,13.4278998087156,12.9895544459464,12.8742088290657,7.87420882906575,6.29375537634409,7.07638978494624,10.875,-459.066277634409,-264.333069784946,72.5,23.25,1.55913978494624,B1,93,70,58,4,15,13,5,8,5,2,13,23.25,18.6,7.1538,3.25,3,2.6,0.6154,1.6,1.25,1,0.4,0.1538,2.6,1
cohort_student10,0.50609756097561,0.882440148415677,9.16581666421226,6.48121111837715,21.4007912548878,0.864446590793531,190.920582986318,0.0160923398224808,0.114315186712394,0.216164854323826,4.71936987533486,10.8667507232712,13.1301117886179,67.2571138211382,10.1491869918699,-5.00112681969048,321828572.579844,46.1079268292683,43.5012195121951,50.599031097561,9.1996130831439,9.20060975609756,17.624756097561,9.56555650406504,8.24154105691057,6.35785458715596,87.2962041284404,-456.70737550813,600.112681969048,9.41666666666667,-58.2122083333333,49.6123983739838,6.88735284552846,13.129756097561,16.5430894308943,8.73440506666667,55.9,10.1676829268293,9.61445121951219,121.25,15.3333333333333,50.1991869918699,8.25921869918699,8.86099715447154,8.24802682926829,9.41502601626016,6.25,1.59600825877495,14.3140289224384,13.8186149184932,13.7238052947636,8.72380529476361,6.74133333333333,7.60336585365854,12.55,-491.998678069106,-240.157215091463,94.1666666666667,27.3333333333333,1.53048780487805,B2,330,173,151,13,45,27,16,10,7,6,39,25.3846,20.625,12.2222,2.0769,2.8125,1.6875,0.3704,0.625,1.2308,0.4375,0.375,0.2222,2.4375,1.4444
